ticker,start_date,end_date
TA,1996-01-02,1999-07-22
ARNC,1996-01-02,2020-04-06
STI,1996-01-02,2019-12-09
DCNAQ,1996-01-02,2006-03-03
KMB,1996-01-02,
ASC,1996-01-02,1999-06-24
AAMRQ,1996-01-02,2003-03-14
FNMA,1996-01-02,2008-09-11
MCO,1996-01-02,
AEP,1996-01-02,
CEN,1996-01-02,2001-04-02
GD,1996-01-02,
RDS.A,1996-01-02,2002-07-22
MWI,1996-01-02,1999-05-28
MEA,1996-01-02,2002-01-30
PEG,1996-01-02,
UIS,1996-01-02,2008-11-11
UNP,1996-01-02,
WMT,1996-01-02,
HLT,1996-01-02,2007-10-25
TMC,1996-01-02,2000-06-13
BR,1996-01-02,2006-04-03
ADM,1996-01-02,
DEC,1996-01-02,1998-06-12
STO,1996-01-02,1998-11-18
CNG,1996-01-02,2000-01-31
PG,1996-01-02,
TEK,1996-01-02,2007-11-16
TGNA,1996-01-02,2017-06-02
TRB,1996-01-02,2007-12-21
STJ,1996-01-02,2017-01-05
ETS,1996-01-02,2001-08-06
CHA,1996-01-02,2000-06-19
MO,1996-01-02,
CL,1996-01-02,
KATE,1996-01-02,2008-12-02
CEG,1996-01-02,2012-03-13
WEN,1996-01-02,2008-09-30
CCK,1996-01-02,2000-12-11
AEE,1996-01-02,
CBB,1996-01-02,1998-01-28
WHR,1996-01-02,2024-03-18
AMAT,1996-01-02,
AVY,1996-01-02,
CCI,1996-01-02,1998-10-08
IR,1996-01-02,2009-07-01
OAT,1996-01-02,2001-08-03
BCO,1996-01-02,1996-01-22
ETN,1996-01-02,
CAG,1996-01-02,
ROK,1996-01-02,
MST,1996-01-02,1998-08-14
DIS,1996-01-02,
MDP,1996-01-02,2011-01-04
PHB,1996-01-02,1999-10-04
AS,1996-01-02,1998-11-24
RAL,1996-01-02,2001-12-13
COST,1996-01-02,
NAE,1996-01-02,1997-08-07
NUE,1996-01-02,
UNH,1996-01-02,
NLC,1996-01-02,1999-08-02
MDR,1996-01-02,2003-08-20
SAF,1996-01-02,2008-09-23
GR,1996-01-02,2012-07-27
ABS,1996-01-02,2006-06-02
HDLM,1996-01-02,1996-03-08
PCG,1996-01-02,2019-01-18
WMB,1996-01-02,
RDC,1996-01-02,2014-08-19
ACV,1996-01-02,2006-11-17
AET,1996-01-02,2018-11-29
AN,1996-01-02,1999-01-04
MD,1996-01-02,1997-08-01
MOB,1996-01-02,1999-12-01
DGN,1996-01-02,1999-10-13
LNC,1996-01-02,2023-09-18
I,1996-01-02,1996-04-01
RYC,1996-01-02,1999-08-13
MCD,1996-01-02,
MSFT,1996-01-02,
HM,1996-01-02,2001-12-17
IKN,1996-01-02,2000-06-29
R,1996-01-02,2017-06-19
ORCL,1996-01-02,
K,1996-01-02,
WYE,1996-01-02,2009-10-16
WMX,1996-01-02,1998-07-17
VAT,1996-01-02,1996-09-06
DXC,1996-01-02,2015-12-01
IBM,1996-01-02,
PEP,1996-01-02,
USW,1996-01-02,2000-07-03
SPGI,1996-01-02,
CCB,1996-01-02,1996-02-12
KMG,1996-01-02,2006-08-11
WLA,1996-01-02,2000-06-20
ONE,1996-01-02,2004-07-01
SFA,1996-01-02,2006-02-27
JCI,1996-01-02,
CIN,1996-01-02,2006-04-03
LLY,1996-01-02,
TGT,1996-01-02,
GAPTQ,1996-01-02,2000-08-30
PH,1996-01-02,
BGG,1996-01-02,2001-04-03
INGR,1996-01-02,1997-07-28
SLB,1996-01-02,
PEL,1996-01-02,1997-06-19
TXU,1996-01-02,2007-10-10
ALL,1996-01-02,
RBK,1996-01-02,2006-02-01
MAT,1996-01-02,2019-06-07
HP,1996-01-02,1999-12-31
BC,1996-01-02,2008-06-23
AAL,1996-01-02,1997-01-15
DIGI,1996-01-02,1998-08-28
TIN,1996-01-02,2007-12-31
TKR,1996-01-02,2001-08-07
NOVL,1996-01-02,2011-04-28
DALRQ,1996-01-02,2005-08-19
DJ,1996-01-02,2007-12-14
CYR,1996-01-02,1996-03-28
TNB,1996-01-02,2004-08-03
EIX,1996-01-02,
BHGE,1996-01-02,2019-10-18
PRD,1996-01-02,2000-12-12
GAS,1996-01-02,2011-12-12
MZIAQ,1996-01-02,2000-06-29
COP,1996-01-02,
BOL,1996-01-02,2007-10-29
FMCC,1996-01-02,2008-09-11
EKDKQ,1996-01-02,2010-12-20
BMS,1996-01-02,2014-12-05
IPG,1996-01-02,
AL,1996-01-02,2002-07-22
JH,1996-01-02,1998-04-01
EXC,1996-01-02,
APD,1996-01-02,
OWENQ,1996-01-02,2000-10-02
NKE,1996-01-02,
ACKH,1996-01-02,2000-11-17
PDG,1996-01-02,2002-07-22
ENS,1996-01-02,1997-08-06
EMN,1996-01-02,
HCA,1996-01-02,2006-11-20
SNA,1996-01-02,
TX,1996-01-02,2001-10-10
M,1996-01-02,2020-04-06
CMB,1996-01-02,1996-04-01
MWV,1996-01-02,2015-07-02
CB,1996-01-02,
S,1996-01-02,2013-07-09
CVS,1996-01-02,
