ticker,start_date,end_date
WEC,2008-10-31,
SJM,2008-11-06,
PBCT,2008-11-13,2022-04-04
WYNN,2008-11-14,
XRAY,2008-11-14,2024-04-03
CEPH,2008-11-17,2011-10-14
SRCL,2008-11-19,2018-12-03
LIFE,2008-11-24,2014-01-24
DNB,2008-12-02,2017-04-05
RSG,2008-12-05,
EQT,2008-12-19,2018-11-13
MFE,2008-12-23,2011-03-01
SCG,2009-01-02,2019-01-02
OI,2009-01-02,2016-12-02
FLIR,2009-01-02,2021-05-14
IRM,2009-01-06,
WELL,2009-01-30,
DO,2009-02-26,2016-10-03
VTR,2009-03-04,
HRL,2009-03-04,
ES,2009-03-17,
ORLY,2009-03-27,
TWC,2009-03-30,2016-05-18
DNR,2009-04-02,2015-03-23
FTI,2009-06-05,2021-02-12
ATGE,2009-06-09,2012-10-01
TMUS,2009-06-30,2013-05-01
PWR,2009-07-01,
WDC,2009-07-01,
RHT,2009-07-27,2019-07-15
FMC,2009-08-19,2025-04-24
CFN,2009-09-01,2015-03-17
ARG,2009-09-09,2016-05-23
FSLR,2009-10-16,2017-03-20
BKNG,2009-11-06,
CLF,2009-12-21,2014-04-02
LDOS,2009-12-21,2013-09-23
ROST,2009-12-21,
V,2009-12-21,
MJN,2009-12-21,2017-06-15
ROP,2009-12-23,
NRG,2010-01-29,
URBN,2010-02-08,2017-03-20
BRK.B,2010-02-16,
HP,2010-03-01,2020-05-22
DISCA,2010-03-01,2022-04-11
OKE,2010-03-15,
CERN,2010-04-30,2022-06-08
KMX,2010-06-28,
QEP,2010-07-01,2015-07-01
IR,2010-11-17,
CVC,2010-12-20,2016-06-21
NFX,2010-12-20,2019-02-15
FFIV,2010-12-20,
NFLX,2010-12-20,
MMI,2011-01-04,2012-05-22
NE,2011-01-18,2015-07-20
JOY,2011-02-28,2015-10-08
COV,2011-03-01,2015-01-27
EW,2011-04-01,
BLK,2011-04-04,
CMG,2011-04-28,
ANRZQ,2011-06-02,2012-10-02
MPC,2011-07-01,
ACN,2011-07-06,
MOS,2011-09-26,
TEL,2011-10-17,
XYL,2011-11-01,
CBE,2011-11-23,2012-12-03
GAS,2011-12-13,2016-07-01
DLTR,2011-12-19,
BWA,2011-12-19,2025-04-24
PRGO,2011-12-19,2021-09-20
TRIP,2011-12-21,2019-12-23
WPX,2012-01-03,2014-03-24
CCI,2012-03-13,
FOSL,2012-04-04,2016-01-05
PSX,2012-05-01,
KMI,2012-05-25,
ALXN,2012-05-25,2021-07-21
LRCX,2012-06-05,
MNST,2012-06-29,
STX,2012-07-02,
ESV,2012-07-31,2016-03-30
LYB,2012-09-05,
PNR,2012-10-01,
KRFT,2012-10-02,2015-07-06
ADT,2012-10-02,2016-05-02
PETM,2012-10-05,2015-03-12
DG,2012-12-03,
GRMN,2012-12-12,
APTV,2012-12-24,
ABBV,2013-01-02,
PVH,2013-02-14,2022-09-19
REGN,2013-05-01,
MAC,2013-05-09,2019-12-23
KSU,2013-05-24,2021-12-14
GM,2013-06-07,
ZTS,2013-06-24,
NWSA,2013-07-01,
NLSN,2013-07-09,2022-10-12
DAL,2013-09-11,
AME,2013-09-23,
VRTX,2013-09-23,
RIG,2013-10-29,2017-07-26
KORS,2013-11-13,2018-09-19
ALLE,2013-12-02,
GGP,2013-12-10,2018-08-28
FB,2013-12-23,2022-06-09
MHK,2013-12-23,
ADS,2013-12-23,2020-06-22
TSCO,2014-01-24,
GMCR,2014-03-24,2016-03-03
ESS,2014-04-02,
GOOG,2014-04-03,
UAA,2014-05-01,2022-06-21
NAVI,2014-05-01,2018-06-05
AVGO,2014-05-08,
XEC,2014-06-20,2020-03-03
AMG,2014-07-01,2019-12-23
MLM,2014-07-02,
DISCK,2014-08-07,2022-04-11
MNK,2014-08-19,2017-07-26
URI,2014-09-22,
UHS,2014-09-22,
LVLT,2014-11-05,2017-10-13
RCL,2014-12-05,
HCA,2015-01-27,
ENDP,2015-01-27,2017-03-02
SWKS,2015-03-12,
HSIC,2015-03-18,
SLG,2015-03-23,2021-03-22
EQIX,2015-03-23,
HBI,2015-03-23,2021-12-20
AAL,2015-03-23,2024-09-23
O,2015-04-07,
QRVO,2015-06-12,2024-12-23
BXLT,2015-07-01,2016-06-03
JBHT,2015-07-01,
CPGX,2015-07-02,2016-07-01
WRK,2015-07-02,2024-07-08
KHC,2015-07-06,
AAP,2015-07-09,2023-08-25
PYPL,2015-07-20,
SIG,2015-07-29,2018-03-19
ATVI,2015-08-31,2023-10-18
UAL,2015-09-03,
FOX,2015-09-21,
NWS,2015-09-21,
CMCSK,2015-09-21,2015-12-14
VRSK,2015-10-08,
HPE,2015-11-02,
FCPT,2015-11-10,2015-11-17
SYF,2015-11-18,
ILMN,2015-11-19,2024-06-24
CSRA,2015-11-30,2018-04-04
CHD,2015-12-29,
CPRI,2016-01-04,2020-05-12
CCEP,2016-01-04,2016-05-31
WLTW,2016-01-05,2022-01-20
EXR,2016-01-19,
CFG,2016-02-01,
FRT,2016-02-01,
CXO,2016-02-22,2021-01-21
AWK,2016-03-04,
UDR,2016-03-07,
CNC,2016-03-30,
HOLX,2016-03-30,
FL,2016-04-04,2019-08-09
UA,2016-04-08,2022-06-21
ULTA,2016-04-18,
GPN,2016-04-25,
AYI,2016-05-03,2018-06-18
ALK,2016-05-13,2023-10-18
DLR,2016-05-18,
LKQ,2016-05-23,
AJG,2016-05-31,
TDG,2016-06-03,
FBHS,2016-06-24,2022-12-19
LNT,2016-07-01,
ALB,2016-07-01,
FTV,2016-07-05,
MTD,2016-09-06,
CHTR,2016-09-08,
COO,2016-09-23,
COTY,2016-10-03,2020-09-21
EVHC,2016-12-02,2018-10-11
MAA,2016-12-02,
IDXX,2017-01-05,
INCY,2017-02-28,
CBOE,2017-03-01,
REG,2017-03-02,
DISH,2017-03-13,2023-06-20
SNPS,2017-03-16,
RJF,2017-03-20,
AMD,2017-03-20,
ARE,2017-03-20,
DXC,2017-04-04,2023-10-02
IT,2017-04-05,
INFO,2017-06-02,2022-03-02
ANSS,2017-06-19,
HLT,2017-06-19,
ALGN,2017-06-19,
RE,2017-06-19,2023-06-10
AOS,2017-07-26,
DRE,2017-07-26,2022-10-03
RMD,2017-07-26,
MGM,2017-07-26,
PKG,2017-07-26,
BHF,2017-08-07,2019-04-02
IQV,2017-08-29,
SBAC,2017-09-01,
DWDP,2017-09-01,2019-06-03
CDNS,2017-09-18,
NCLH,2017-10-13,
HII,2018-01-03,
IPGP,2018-03-07,2022-06-21
TTWO,2018-03-19,
SIVB,2018-03-19,2023-03-15
NKTR,2018-03-19,2019-10-03
MSCI,2018-04-04,
ABMD,2018-05-31,2022-12-22
EVRG,2018-06-05,
TWTR,2018-06-07,2022-11-01
BR,2018-06-18,
HFC,2018-06-18,2021-06-04
FLT,2018-06-20,2024-03-25
CPRT,2018-07-02,
ANET,2018-08-28,
WCG,2018-09-17,2020-01-28
ROL,2018-10-01,
FTNT,2018-10-11,
LIN,2018-11-06,
KEYS,2018-11-06,
JKHY,2018-11-13,
FANG,2018-12-03,
MXIM,2018-12-03,2021-08-30
LW,2018-12-03,
CE,2018-12-24,2025-04-24
FRC,2019-01-02,2023-05-04
TFX,2019-01-18,2025-04-24
ATO,2019-02-15,
WAB,2019-02-27,
DOW,2019-04-02,
LHX,2019-06-01,
CTVA,2019-06-03,
DD,2019-06-03,
AMCR,2019-06-07,
MKTX,2019-07-01,
TMUS,2019-07-15,
GL,2019-08-08,
LDOS,2019-08-09,
IEX,2019-08-09,
CDW,2019-09-23,
NVR,2019-09-26,
LVS,2019-10-03,
BKR,2019-10-18,
PEAK,2019-11-05,2024-03-04
NLOK,2019-11-05,2022-11-08
NOW,2019-11-21,
WRB,2019-12-05,
VIAC,2019-12-05,2022-02-17
ODFL,2019-12-09,
TFC,2019-12-09,
J,2019-12-10,
ZBRA,2019-12-23,
STE,2019-12-23,
LYV,2019-12-23,
PAYC,2020-01-28,
TT,2020-03-03,
CARR,2020-04-03,
RTX,2020-04-03,
OTIS,2020-04-03,
HWM,2020-04-06,
DXCM,2020-05-12,
DPZ,2020-05-12,
WST,2020-05-22,
TYL,2020-06-22,
TDY,2020-06-22,
BIO,2020-06-22,2024-09-23
LUMN,2020-09-18,2023-03-20
TER,2020-09-21,
ETSY,2020-09-21,2024-09-23
CTLT,2020-09-21,2024-12-23
POOL,2020-10-07,
VNT,2020-10-12,2021-03-22
VTRS,2020-11-17,
TSLA,2020-12-21,
ENPH,2021-01-07,
TRMB,2021-01-21,
MPWR,2021-02-12,
NXPI,2021-03-22,
PENN,2021-03-22,2022-09-19
CZR,2021-03-22,
GNRC,2021-03-22,
PTC,2021-04-20,
CRL,2021-05-14,
OGN,2021-06-04,2023-10-18
MRNA,2021-07-21,
BBWI,2021-08-03,2024-10-01
TECH,2021-08-30,
CDAY,2021-09-20,2024-02-01
BRO,2021-09-20,
MTCH,2021-09-20,
CTRA,2021-10-04,
EPAM,2021-12-14,
SEDG,2021-12-20,2023-10-18
FDS,2021-12-20,
SBNY,2021-12-20,2023-03-15
WTW,2022-01-20,
CEG,2022-02-02,
NDSN,2022-02-15,
PARA,2022-02-17,
MOH,2022-03-02,
CPT,2022-04-04,
BALL,2022-05-10,
VICI,2022-06-08,
META,2022-06-09,
ON,2022-06-21,
KDP,2022-06-21,
ELV,2022-06-28,
INVH,2022-09-19,
CSGP,2022-09-19,
EQT,2022-10-03,
PCG,2022-10-03,
TRGP,2022-10-12,
ACGL,2022-11-01,
GEN,2022-11-08,
FSLR,2022-12-19,
STLD,2022-12-22,
GEHC,2023-01-04,
BG,2023-03-15,
PODD,2023-03-15,
FICO,2023-03-20,
AXON,2023-05-04,
RVTY,2023-05-16,
FI,2023-06-07,
EG,2023-06-10,
PANW,2023-06-20,
KVUE,2023-08-25,
COR,2023-08-30,
BX,2023-09-18,
ABNB,2023-09-18,
VLTO,2023-10-02,
BLDR,2023-10-18,
UBER,2023-10-18,
LULU,2023-10-18,
JBL,2023-10-18,
HUBB,2023-10-18,
DAY,2024-02-01,
DOC,2024-03-04,
DECK,2024-03-18,
SMCI,2024-03-18,
CPAY,2024-03-25,
SOLV,2024-04-03,
GEV,2024-04-03,
VST,2024-05-08,
GDDY,2024-06-24,
KKR,2024-06-24,
CRWD,2024-06-24,
SW,2024-07-08,
DELL,2024-09-23,
PLTR,2024-09-23,
ERIE,2024-09-23,
AMTM,2024-09-30,2024-12-23
TPL,2024-11-26,
WDAY,2024-12-23,
LII,2024-12-23,
APO,2024-12-23,
DASH,2025-04-24,
TKO,2025-04-24,
EXE,2025-04-24,
WSM,2025-04-24,
COIN,2025-05-19,
DDOG,2025-07-09,
